ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_19922,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV_19923,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
ASV_19924,Eukaryota,NA,NA,NA,NA,NA
ASV_19925,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_19926,Eukaryota,NA,NA,NA,NA,NA
ASV_19927,Eukaryota,NA,NA,NA,NA,NA
ASV_19928,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA
ASV_19929,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
ASV_1993,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
ASV_19930,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea
ASV_19931,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207
ASV_19932,Bacteria,Planctomycetota,OM190,NA,NA,NA
ASV_19933,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,DEV114
ASV_19934,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA
ASV_19935,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
ASV_19936,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA
ASV_19937,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA
ASV_19938,Bacteria,Planctomycetota,OM190,NA,NA,NA
ASV_19939,Bacteria,Cyanobacteria,Sericytochromatia,NA,NA,NA
ASV_1994,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
ASV_19940,Bacteria,NA,NA,NA,NA,NA
ASV_19942,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA
ASV_19943,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA
ASV_19944,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NA,NA
ASV_19945,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV_19946,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group
ASV_19947,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,MWH-Ta3
ASV_19948,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_19949,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade
ASV_1995,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
ASV_19950,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA
ASV_19951,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
ASV_19952,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA
ASV_19953,Eukaryota,NA,NA,NA,NA,NA
ASV_19954,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
ASV_19955,Eukaryota,NA,NA,NA,NA,NA
ASV_19956,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,NA Family,NA
